Date,RubUSD,SP500
9/4/2012,32.265202,1404.939941
9/5/2012,32.312199,1403.439941
9/6/2012,32.238201,1432.119995
9/7/2012,31.937201,1437.920044
9/10/2012,31.652000,1429.079956
9/11/2012,31.647301,1433.560059
9/12/2012,31.460100,1436.560059
9/13/2012,31.420000,1459.989990
9/14/2012,31.039700,1465.770020
9/17/2012,30.496099,1461.189941
9/18/2012,30.639999,1459.319946
9/19/2012,30.887699,1461.050049
9/20/2012,31.146900,1460.260010
9/21/2012,31.104200,1460.150024
9/24/2012,31.037201,1456.890015
9/25/2012,31.095200,1441.589966
9/26/2012,31.172701,1433.319946
9/27/2012,31.291201,1447.150024
9/28/2012,30.899300,1440.670044
10/1/2012,31.176001,1444.489990
10/2/2012,31.165199,1445.750000
10/3/2012,31.120199,1450.989990
10/4/2012,31.134001,1461.400024
10/5/2012,30.907200,1460.930054
10/8/2012,31.006500,1455.880005
10/9/2012,31.160200,1441.479980
10/10/2012,31.132401,1432.560059
10/11/2012,31.118799,1432.839966
10/12/2012,30.968399,1428.589966
10/15/2012,31.106199,1440.130005
10/16/2012,30.965000,1454.920044
10/17/2012,30.793100,1460.910034
10/18/2012,30.735201,1457.339966
10/19/2012,30.754200,1433.189941
10/22/2012,30.855200,1433.819946
10/23/2012,31.075001,1413.109985
10/24/2012,31.395000,1408.750000
10/25/2012,31.400200,1412.969971
10/26/2012,31.307699,1411.939941
10/31/2012,31.338600,1412.160034
11/1/2012,31.280001,1427.589966
11/2/2012,31.243200,1414.199951
11/5/2012,31.475201,1417.260010
11/6/2012,31.557199,1428.390015
11/7/2012,31.366199,1394.530029
11/8/2012,31.535200,1377.510010
11/9/2012,31.453400,1379.849976
11/12/2012,31.530199,1380.030029
11/13/2012,31.660999,1374.530029
11/14/2012,31.718201,1355.489990
11/15/2012,31.649599,1353.329956
11/16/2012,31.616199,1359.880005
11/19/2012,31.615801,1386.890015
11/20/2012,31.379000,1387.810059
11/21/2012,31.290001,1391.030029
11/23/2012,31.140301,1409.150024
11/26/2012,31.000700,1406.290039
11/27/2012,30.974001,1398.939941
11/28/2012,31.059200,1409.930054
11/29/2012,31.039200,1415.949951
11/30/2012,30.865200,1416.180054
12/3/2012,30.843201,1409.459961
12/4/2012,30.867001,1407.050049
12/5/2012,30.801100,1409.280029
12/6/2012,30.763201,1413.939941
12/7/2012,30.901199,1418.069946
12/10/2012,30.816200,1418.550049
12/11/2012,30.760700,1427.839966
12/12/2012,30.677000,1428.479980
12/13/2012,30.541000,1419.449951
12/14/2012,30.714500,1413.579956
12/17/2012,30.676399,1430.359985
12/18/2012,30.962000,1446.790039
12/19/2012,30.717300,1435.810059
12/20/2012,30.702499,1443.689941
12/21/2012,30.667200,1430.150024
12/24/2012,30.807199,1426.660034
12/26/2012,30.619200,1419.829956
12/27/2012,30.438999,1418.099976
12/28/2012,30.281000,1402.430054
12/31/2012,30.440201,1426.189941
1/2/2013,30.337200,1462.420044
1/3/2013,30.156500,1459.369995
1/4/2013,30.271000,1466.469971
1/7/2013,30.285500,1461.890015
1/8/2013,30.358999,1457.150024
1/9/2013,30.274500,1461.020020
1/10/2013,30.343300,1472.119995
1/11/2013,30.129200,1472.050049
1/14/2013,30.264601,1470.680054
1/15/2013,30.146400,1472.339966
1/16/2013,30.295401,1472.630005
1/17/2013,30.300501,1480.939941
1/18/2013,30.160000,1485.979980
1/22/2013,30.255400,1492.560059
1/23/2013,30.216200,1494.810059
1/24/2013,30.157200,1494.819946
1/25/2013,29.989901,1502.959961
1/28/2013,29.986500,1500.180054
1/29/2013,30.115499,1507.839966
1/30/2013,30.002600,1501.959961
1/31/2013,30.032000,1498.109985
